Model,Accel,Trials,batchsize,50th_pct,90th_pct,avg_latency(ms),Min,Max,Accuracy,Normalized_Accuracy
gpt2-large,onnxruntime_gpu_ampere,100,4,600.8846759796143,602.8008460998535,601.2017893791199,598.9847183227539,605.7584285736084,88.0,98.82088714205503
gpt2-large,onnxruntime_gpu_ampere,100,8,601.8662452697754,605.4019927978516,602.7706503868103,599.2658138275146,633.3558559417725,88.0,98.82088714205503
gpt2-large,onnxruntime_gpu_ampere,100,16,590.1765823364258,591.4473533630371,590.8459067344666,588.7839794158936,622.0967769622803,88.0,98.82088714205503
gpt2-xl,onnxruntime_gpu_ampere,100,1,797.9822158813477,802.7603626251221,812.778594493866,793.7545776367188,2101.405143737793,89.05,100.0
gpt2-xl,onnxruntime_gpu_ampere,100,2,791.7511463165283,793.5302257537842,791.9996166229248,789.5717620849609,796.2279319763184,89.05,100.0
gpt2-xl,onnxruntime_gpu_ampere,100,4,809.847354888916,839.0843868255615,815.663206577301,799.1764545440674,849.3213653564453,89.05,100.0
gpt2-xl,onnxruntime_gpu_ampere,100,8,795.640230178833,797.8265285491943,794.7688388824463,788.9385223388672,808.4819316864014,89.05,100.0
gpt2-xl,onnxruntime_gpu_ampere,100,16,789.975643157959,794.0318584442139,790.3137397766113,784.4619750976562,802.722692489624,89.05,100.0
mobilenet0.25,onnxruntime_cpu,100,1,2.629995346069336,2.759218215942383,2.666497230529785,2.584695816040039,4.214048385620117,52.91,72.20251091703057
mobilenet0.25,onnxruntime_cpu,100,2,5.167961120605469,5.300998687744141,5.189945697784424,5.098104476928711,5.776882171630859,52.91,72.20251091703057
mobilenet0.25,onnxruntime_cpu,100,4,10.316848754882812,10.644912719726562,10.392069816589355,10.164976119995117,11.207818984985352,52.91,72.20251091703057
mobilenet0.25,onnxruntime_cpu,100,8,20.428895950317383,20.77627182006836,20.53015947341919,20.32780647277832,22.48096466064453,52.91,72.20251091703057
mobilenet0.25,onnxruntime_cpu,100,16,41.59402847290039,43.17283630371094,41.993324756622314,41.10312461853027,49.510955810546875,52.91,72.20251091703057
mobilenet0.5,onnxruntime_cpu,100,1,6.453990936279297,6.621122360229492,6.491141319274902,6.395816802978516,7.293224334716797,65.2,88.97379912663756
mobilenet0.5,onnxruntime_cpu,100,2,12.948989868164062,13.257026672363281,12.983386516571045,12.717008590698242,14.052867889404297,65.2,88.97379912663756
mobilenet0.5,onnxruntime_cpu,100,4,25.687217712402344,26.096105575561523,25.762202739715576,25.439977645874023,27.16994285583496,65.2,88.97379912663756
mobilenet0.5,onnxruntime_cpu,100,8,51.837921142578125,53.79295349121094,52.17867612838745,50.84681510925293,54.94093894958496,65.2,88.97379912663756
mobilenet0.5,onnxruntime_cpu,100,16,103.42884063720703,105.88979721069336,103.86788129806519,102.40912437438965,110.92901229858398,65.2,88.97379912663756
mobilenet0.75,onnxruntime_cpu,100,1,12.063980102539062,12.372016906738281,12.117815017700195,11.81793212890625,13.096094131469727,70.25,95.86517467248909
mobilenet0.75,onnxruntime_cpu,100,2,23.906230926513672,24.41120147705078,23.961610794067383,23.3612060546875,25.479793548583984,70.25,95.86517467248909
mobilenet0.75,onnxruntime_cpu,100,4,47.190189361572266,48.1412410736084,47.36046552658081,46.75102233886719,48.83980751037598,70.25,95.86517467248909
mobilenet0.75,onnxruntime_cpu,100,8,94.34008598327637,96.62699699401855,94.89513874053955,93.56999397277832,115.56410789489746,70.25,95.86517467248909
mobilenet0.75,onnxruntime_cpu,100,16,189.58592414855957,193.8159465789795,190.47353506088257,188.42005729675293,210.0670337677002,70.25,95.86517467248909
mobilenet1.0,onnxruntime_cpu,100,1,18.899202346801758,19.190073013305664,18.980882167816162,18.60213279724121,22.092819213867188,73.28,100.0
mobilenet1.0,onnxruntime_cpu,100,2,37.37807273864746,38.413047790527344,37.53817081451416,36.81588172912598,41.895151138305664,73.28,100.0
